ssid,bssid,encryption,vendor,longitude,latitude
Henry,00:1e:2a:01:db:6a,"",NETGEAR,8.6372027,49.8645449
UPC5231445,e0:88:5d:51:10:11,"",Technicolor CH USA Inc.,8.6781818,49.8733628
eduroam,34:a8:4e:43:e6:db,[WPA2-EAP-CCMP][ESS],"Cisco Systems, Inc",8.67023688083038,49.8607111764553
WLAN-0024FE48B4C6,00:24:fe:48:b4:c6,"",AVM GmbH,8.64617,49.872573
UPC6141034,08:95:2a:5f:5b:50,WPA-PSK-CCMP+TKIP,Technicolor CH USA Inc.,8.660617,49.88038
Fleck_mm,1c:c6:3c:14:db:24,WPA-PSK-CCMP+TKIP,Arcadyan Technology Corporation,8.664782,49.881716
eduroam,50:17:ff:f4:ee:64,"","Cisco Systems, Inc",8.67756289529297,49.8615626446207
o2-WLAN72,a0:e4:cb:25:a5:65,[WPA2-PSK-CCMP][WPS][ESS],ZyXEL Communications Corporation,8.65858163318573,49.8689032229489
blacky--Wireless,4c:09:d4:6c:d8:c6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Arcadyan Technology Corporation,8.65868546338478,49.8640298834972
WLAN-867102,4c:09:d4:25:78:01,"",Arcadyan Technology Corporation,8.6676901,49.8709899
guestnet,00:0b:86:e9:70:71,[ESS],Aruba Networks,8.63091022472509,49.8850731610668
Baumhaus,00:24:fe:a9:9d:22,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.66428896630505,49.8609378494135
HP-Print-E1-ENVY 4500 series,f0:92:1c:d0:a9:e1,[WPA2-PSK-CCMP][ESS],Hewlett Packard,8.64458291888551,49.8791673192229
Spatzenschar,34:31:c4:79:12:12,"",AVM GmbH,8.6624192,49.8693794
TUDWeb,34:a8:4e:56:0c:6f,"","Cisco Systems, Inc",8.6765223,49.8614826
EasyBox-118B30,9c:80:df:11:8b:5e,"",Arcadyan Technology Corporation,8.6676901,49.8709899
WLAN-209318,18:83:bf:6e:f2:71,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.64934285876381,49.8800307085735
TP-LINK_F926E0,e8:de:27:f9:26:e0,WPA2-PSK-CCMP,"TP-LINK TECHNOLOGIES CO.,LTD.",8.669979,49.883696
FRITZ!Box WLAN 3270,bc:05:43:d5:71:ef,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.65874517679356,49.8573169807182
TheDarknes,4c:09:d4:f1:14:c2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Arcadyan Technology Corporation,8.64226188521322,49.8634098366508
UPC3653501,58:23:8c:03:5d:55,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Technicolor CH USA Inc.,8.64971436736035,49.861913403992
rawempire,24:65:11:97:8e:07,"",AVM GmbH,8.6354783,49.8687405
WG-Lan,4c:09:d4:4e:a3:45,[WPA2-PSK-CCMP-preauth][WPS][ESS],Arcadyan Technology Corporation,8.65266345728952,49.880862821161
Joggl,c8:0e:14:c4:9b:5d,[WPA2-PSK-CCMP][WPS][ESS],AVM Audiovisuelles Marketing und Computersysteme GmbH,8.64395755115123,49.8622935698357
FRITZ!Box 7490,34:81:c4:b7:4c:6c,"",AVM GmbH,8.644529,49.8654379
FRITZ!Box 7330 SL,c0:25:06:78:59:9a,"",AVM GmbH,8.6431981,49.8760927
Kaiserstuhl,24:65:11:f2:5e:89,"",AVM GmbH,8.6448793,49.8704183
TP-LINK_C02A42,e8:de:27:c0:2a:42,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.6372376,49.8691907
WLAN-040259,00:0e:8f:3b:ca:85,"",Sercomm Corp.,8.6665888,49.8695366
eduroam,20:4c:9e:a2:ed:2c,[WPA2-EAP-CCMP][ESS],"Cisco Systems, Inc",8.65783980880414,49.8734363804848
SitecomAP,00:0c:f6:35:63:8b,"",Sitecom Europe BV,8.6414436,49.8674531
o2-WLAN17,18:83:bf:3b:d2:31,WPA2-PSK-CCMP-preauth,Arcadyan Technology Corporation,8.665809,49.879856
o2-WLAN-KKFS,90:ef:68:9f:af:2f,"",ZyXEL Communications Corporation,8.6665888,49.8695366
"Welde-LAN_2,4",c0:4a:00:38:80:73,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.670901,49.882178
Pupini,cc:b2:55:5c:ca:8a,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,D-Link International,8.64819487711527,49.862104449449
EasyBox-264528,94:4a:0c:45:a6:76,"",Sercomm Corporation,8.6665888,49.8695366
Wormhole,c0:25:06:64:87:8a,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.640653707759,49.8602786110784
WLAN-579650,88:03:55:4b:45:d3,"",Arcadyan Technology Corporation,8.6781818,49.8733628
SV Darmstadt 98,c0:25:06:0a:6d:b1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.66145086318538,49.8620776876635
Mueckes W-LAN,4c:09:d4:91:44:ee,"",Arcadyan Technology Corporation,8.6768102,49.8683484
ADM-EIB,08:96:d7:aa:1b:a4,"",AVM GmbH,8.6815355,49.8720407
EasyBox-303035,e0:60:66:56:de:b6,"",Sercomm Corporation,8.6447987,49.8654444
EBG-Darmstadt,00:09:0f:44:b0:55,"",Fortinet Inc.,8.6321686,49.8749312
DREIUNDVIERZIG_1,00:16:b6:13:9c:05,WPA2-PSK-CCMP+TKIP,"Cisco-Linksys, LLC",8.663527,49.88029
BION,2c:3e:cf:72:05:84,"","Cisco Systems, Inc",8.6397524,49.8682104
FRITZ!Box 6490 Cable,c8:0e:14:ce:02:43,[WPA2-PSK-CCMP][WPS][ESS],AVM Audiovisuelles Marketing und Computersysteme GmbH,8.6468045184931,49.8779462710217
FRITZ!Box Fon WLAN 7390,bc:05:43:28:e7:6b,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.66458477586373,49.8673926707852
WLAN-Wanderfreund,4c:09:d4:11:e2:bd,WPA2-PSK-CCMP,Arcadyan Technology Corporation,8.662925,49.880497
Fritz7490mevs,34:81:c4:a2:ad:9d,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.65107072181434,49.8827642982806
BURHANIYE,4c:09:d4:37:5f:b3,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.65637921303185,49.8836400282906
FRITZBoxKB,08:96:d7:b5:3c:54,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.66370039561067,49.8625300349298
NSA-Van,9c:c7:a6:ec:f9:c8,"",AVM GmbH,8.6386921,49.8774046
accso-WLAN,a0:e4:cb:86:0b:ed,"",ZyXEL Communications Corporation,8.6371245,49.8647632
Consult,14:cc:20:cd:53:e8,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.6340283,49.8701206
retea,4c:5e:0c:c6:fe:d7,"",Routerboard.com,8.6347944,49.8695391
EasyBox-883680,e0:60:66:2c:bd:28,"",Sercomm Corporation,8.6665888,49.8695366
Comstar,00:24:fe:af:9a:1c,"",AVM GmbH,8.6468161340332,49.8707927497559
mygirls,34:08:04:b8:08:f2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],D-Link Corporation,8.65271718951439,49.8839945682505
WLAN-DDE249,00:26:4d:dd:e2:4c,"",Arcadyan Technology Corporation,8.677538,49.889428
rJc8dnJ0-sS2w7pkt,c8:0e:14:27:07:c6,WPA2-PSK-CCMP,AVM Audiovisuelles Marketing und Computersysteme GmbH,8.659126,49.879886
Nueffe,a0:e4:cb:b2:5e:69,[WPA2-PSK-CCMP][WPS][ESS],ZyXEL Communications Corporation,8.64960297943838,49.8837530551093
FRITZ!Box Fon WLAN 7320,bc:05:43:69:b8:11,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.65509965298194,49.866803239505
WLAN-182F34,88:25:2c:18:2f:bb,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Arcadyan Technology Corporation,8.65974765082314,49.8674031611372
LWireless,9c:c7:a6:89:46:05,"",AVM GmbH,8.6372376,49.8691907
BS,9c:80:df:a1:4e:b3,[WPA2-PSK-CCMP][ESS],Arcadyan Technology Corporation,8.64388444929523,49.8826874046569
Best-Hood-in-Town,88:f7:c7:9c:9b:70,"",Technicolor CH USA Inc.,8.6516159,49.8699813
WLAN C99859,00:26:4d:c9:98:e5,"",Arcadyan Technology Corporation,8.6433391,49.865896
eduroam,64:ae:0c:65:fa:8c,"","Cisco Systems, Inc",8.655487,49.8772097
iptime,64:e5:99:09:a0:bc,"",EFM Networks,8.670238,49.882753
Telekom_FON,d4:21:22:66:dd:86,[ESS],Sercomm Corporation,8.65847793886929,49.8614564270825
WLAN-CFB750,74:31:70:cf:b7:cc,"",Arcadyan Technology Corporation,8.658556,49.883304
UPC37A63A1,dc:53:7c:da:c1:45,WPA-PSK-CCMP+TKIP,"Compal Broadband Networks, Inc.",8.662485,49.878197
dlink1,90:94:e4:97:bb:d0,"",D-Link International,8.6663758,49.8592368
homebase,08:96:d7:f0:4a:dc,WPA2-PSK-CCMP,AVM GmbH,8.662118,49.88337
Internet,34:81:c4:f4:64:67,"",AVM GmbH,8.6403711,49.8648757
EasyBox-349379,94:4a:0c:9f:c0:50,"",Sercomm Corporation,8.6512314,49.8711832
Horiba,20:b3:99:44:ae:e8,[WPA2-EAP-CCMP-preauth][ESS],Enterasys,8.64357674518311,49.8815423592705
Telekom,38:20:56:d5:b3:21,"","Cisco Systems, Inc",8.6423533,49.8706664
UPC3462172,58:23:8c:01:db:89,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Technicolor CH USA Inc.,8.64790201896477,49.8649318955409
WLAN-208146,d4:21:22:af:80:7b,"",Sercomm Corporation,8.6495344,49.8714446
UPC0899914,44:32:c8:30:1a:aa,"",Technicolor CH USA Inc.,8.6326933,49.874952
EasyBox-19F063,50:7e:5d:19:f0:7b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-p,Arcadyan Technology Corporation,8.64583720897506,49.8602812108529
UPC0879835,44:32:c8:2f:52:7c,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],Technicolor CH USA Inc.,8.64518146795629,49.87877888289
NETGEAR31,9c:d3:6d:b9:cc:f8,[WPA2-PSK-CCMP][WPS][ESS],NETGEAR,8.65214791963617,49.8653262721957
EasyBox-B56A27,18:83:bf:b5:6a:dd,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-p,Arcadyan Technology Corporation,8.65060924532173,49.8632129189467
Schr?der Immobilien,c0:25:06:43:63:63,"",AVM GmbH,8.648232,49.8724403
DewpointWLAN,08:bd:43:bd:60:24,"",NETGEAR,8.67451764529602,49.8609479224017
Hirem,c4:6e:1f:42:01:36,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.6434991,49.8644095
schatzi,00:24:fe:a4:48:7b,"",AVM GmbH,8.6455617,49.8684598
ZYXEL-672,04:bf:6d:47:ea:1e,"",ZyXEL Communications Corporation,8.6415416,49.8655938
BI-1OG,b0:48:7a:99:f2:0e,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.6415433,49.8670202
thebigbangtheory,cc:b2:55:5c:dc:ec,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,D-Link International,8.65904013900003,49.8645728211241
eduroam,b0:aa:77:eb:b7:d3,[WPA2-EAP-CCMP][ESS],"Cisco Systems, Inc",8.6566610148821,49.8761295192768
undefined,1c:c6:3c:02:f7:f6,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.65418288527314,49.8680705128959
JCM,34:31:c4:11:67:a7,"",AVM GmbH,8.6450712,49.8706559
KomschHierNetRein,04:a1:51:b2:20:a5,"",NETGEAR,8.67139522574855,49.8535748150363
undefined,88:25:2c:f3:ba:22,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.64726119968426,49.8654531347614
Bit-Portal,e0:60:66:42:d2:cc,"",Sercomm Corporation,8.66255179272562,49.8745012036572
mcom,84:b5:17:3c:89:5a,[WPA2-EAP-CCMP][ESS],"Cisco Systems, Inc",8.63678463310439,49.8820312888317
AmericanWoman,5c:49:79:62:ed:51,[WPA2-PSK-CCMP][WPS][ESS],AVM Audiovisuelles Marketing und Computersysteme GmbH,8.65830142652619,49.8645859579971
FRITZ!Box 3490,c8:0e:14:25:79:3c,"",AVM Audiovisuelles Marketing und Computersysteme GmbH,8.651501,49.874844
Kitewouli_SIM,00:04:0e:d4:e8:6f,"",AVM GmbH,8.64723718031921,49.8710848582794
Besucher,00:a0:57:1b:cb:8d,"",LANCOM Systems GmbH,8.651931,49.875372
NEMESIS-5G,6c:b0:ce:1b:95:be,"",NETGEAR,8.6405528,49.8711921
FRITZ!Box 6360 Cable,c0:25:06:09:ad:c7,"",AVM GmbH,8.6412222,49.8640515
WLAN-4AF236,74:31:70:4a:f2:24,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.65412719900944,49.8621627851915
Telekom_SIM,7c:95:f3:7b:fd:01,[WPA2-EAP-CCMP][ESS],"Cisco Systems, Inc",8.64194513216799,49.8632209964511
wlan@ruv.de,0c:85:25:f2:18:c0,"","Cisco Systems, Inc",8.6336012,49.8699116
IPT-Box,c0:25:06:5a:e4:3a,"",AVM GmbH,8.671177,49.878196
NETGEAR04,44:94:fc:84:ba:7a,"",NETGEAR,8.6401733,49.8704905
wlan-f4068d1656d2,f4:06:8d:16:56:d2,[WPA2-PSK-CCMP][WPS][ESS],devolo AG,8.65808189721656,49.8575076396201
WLAN-254358,4c:09:d4:88:23:c7,WPA2-PSK-CCMP,Arcadyan Technology Corporation,8.662034,49.884095
Dano,00:24:01:b8:8a:65,"",D-Link Corporation,8.6495344,49.8714446
FRITZ!Box 5GHz,08:96:d7:98:85:05,"",AVM GmbH,8.6340865,49.8692444
TUDWeb,34:a8:4e:fd:40:82,"","Cisco Systems, Inc",8.655202,49.877174
FRITZ!Box Schwehn,34:81:c4:ee:f2:27,"",AVM GmbH,8.6768102,49.8683484
FRITZ!Box 7412,5c:49:79:5d:f6:f1,[WPA2-PSK-CCMP][WPS][ESS],AVM Audiovisuelles Marketing und Computersysteme GmbH,8.65761423164739,49.8738327705807
Emilnet,c8:0e:14:42:80:23,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],AVM Audiovisuelles Marketing und Computersysteme GmbH,8.6509282004096,49.8818016861881
UPC5054799,e0:88:5d:51:0f:3a,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Technicolor CH USA Inc.,8.64603558552553,49.8609044450746
WLAN-0D7987,00:1d:19:0d:79:9f,"",Arcadyan Technology Corporation,8.6432876,49.8646203
multinet,2c:3e:cf:4a:c0:d1,"","Cisco Systems, Inc",8.6393251,49.8682672
UPC3620208,88:f7:c7:dd:e3:26,WPA-PSK-CCMP+TKIP,Technicolor CH USA Inc.,8.661982,49.878206
Badefuzzi & Co.,4c:09:d4:53:5b:e1,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.6642554368051,49.8638756754158
UPC3C9DFA2,dc:53:7c:ad:54:8f,"","Compal Broadband Networks, Inc.",8.6423533,49.8706664
UPC248710085,c8:0e:14:5c:50:51,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],AVM Audiovisuelles Marketing und Computersysteme GmbH,8.65234256665997,49.8676520098199
ASUS-579C,e0:3f:49:3e:57:9c,"",ASUSTek COMPUTER INC.,8.6381943,49.8685256
Telekom_FON,4c:09:d4:88:7a:b2,"",Arcadyan Technology Corporation,8.6718178,49.8702494
WLAN-236756,88:03:55:e4:d6:09,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.65761257627691,49.863475283206
devolo-000B3BD19BD7,00:0b:3b:d1:9b:d7,[WPA2-PSK-CCMP][WPS][ESS],devolo AG,8.65675532226623,49.8608221052902
Gastzugang,4c:09:d4:40:f4:e1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],Arcadyan Technology Corporation,8.64977648598432,49.8802749009144
Xe4C02,04:18:d6:ad:4a:82,"",Ubiquiti Networks Inc.,8.6327117,49.8719022
eduroam,1c:1d:86:ef:f8:53,"","Cisco Systems, Inc",8.6560773,49.8759962
Nebukadnezar,9c:80:df:a2:0d:1e,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Arcadyan Technology Corporation,8.65846754732746,49.8727101738092
GuS,9c:80:df:bb:22:ae,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.64376665777983,49.8788913876427
WLAN0815,08:96:d7:88:9f:05,[WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.64410704887201,49.8617810060328
Stephane T,00:22:3f:ca:01:b3,"",NETGEAR,8.6697903,49.883134
WSWLDA,34:31:c4:32:c6:08,[WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.66443949188791,49.8656770415731
TP-LINK_april2013,64:70:02:59:88:b7,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.663085,49.881284
TUDWeb,ec:bd:1d:07:9f:6d,[ESS],"Cisco Systems, Inc",8.65596372051098,49.876843917336
FRITZ!Box Fon WLAN 7270,9c:c7:a6:02:47:bd,"",AVM GmbH,8.679988,49.887034
Gastzugang,4c:09:d4:00:a2:4d,"",Arcadyan Technology Corporation,8.6504235,49.8747253
ap-pc-DF4358,00:22:cf:df:43:58,"",PLANEX COMMUNICATIONS INC.,8.6555063,49.8722654
Speedlink-719,a0:e4:cb:0d:4f:7e,[WPA2-PSK-CCMP][WPS][ESS],ZyXEL Communications Corporation,8.64632389489055,49.8651912466921
h_da,00:0b:0e:85:7e:83,"",Trapeze Networks,8.6450712,49.8706559
TUDWeb,34:a8:4e:56:43:2f,"","Cisco Systems, Inc",8.67289998,49.860604605
o2-WLAN68,a0:e4:cb:c4:45:4a,[WPA2-PSK-CCMP][WPS][ESS],ZyXEL Communications Corporation,8.64960393150554,49.8811299455743
Network,ec:22:80:86:3d:34,"",D-Link International,8.6336477,49.8698564
TBRTEP,bc:f6:85:42:9f:1c,"",D-Link International,8.672245,49.882408
WLAN-673599,18:83:bf:e3:50:75,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.65490664666342,49.8850740034336
WLAN-001A4F218C65,00:1a:4f:21:8c:65,"",AVM GmbH,8.6425636,49.8637135
wlan1a,9c:80:df:88:2d:d2,[WPA2-PSK-CCMP][ESS],Arcadyan Technology Corporation,8.65673566225025,49.8673795362197
FRITZ!Box 7412,c0:c1:c0:52:af:ee,"","Cisco-Linksys, LLC",8.681225,49.884053
WLAN-AA5716,9c:80:df:aa:57:6f,"",Arcadyan Technology Corporation,8.636976,49.872126
WLAN-380192,00:0e:8f:f2:7b:33,[WPA2-PSK-CCMP][WPS][ESS],Sercomm Corp.,8.66051596791197,49.8649351065116
o2-WLAN19,4c:09:d4:2c:48:57,WPA2-PSK-CCMP-preauth,Arcadyan Technology Corporation,8.663233,49.879624
UPC5434024,e0:88:5d:e6:cf:99,"",Technicolor CH USA Inc.,8.6768,49.887144
Glitzereinhornkotze.,94:4a:0c:6f:f1:f7,"",Sercomm Corporation,8.6446391,49.8703686
NETGEAR,00:1b:2f:fb:a7:94,"",NETGEAR,8.674482,49.880104
Plantinex_5-GHz,5c:49:79:4b:c7:82,"",AVM Audiovisuelles Marketing und Computersysteme GmbH,8.6368355,49.8649243
TP-LINK_C529A2,64:66:b3:c5:29:a2,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.6342727,49.8693524
WLAN-216A54,50:7e:5d:21:6a:ff,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.64981306007156,49.8673292213273
o2-WLAN35,a0:e4:cb:25:9a:7e,[WPA2-PSK-CCMP][WPS][ESS],ZyXEL Communications Corporation,8.66241509098474,49.8657369931784
FRITZ!WLAN 310,5c:49:79:02:5a:1e,"",AVM Audiovisuelles Marketing und Computersysteme GmbH,8.657914,49.881864
WLAN-FB8D32,84:9c:a6:fb:8d:76,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.64877503046086,49.8791209700774
FRITZ!Box 6360 Cable,9c:c7:a6:2a:a9:98,"",AVM GmbH,8.6452656,49.8694991
UPC1356341,44:32:c8:32:a0:30,"",Technicolor CH USA Inc.,8.6434384,49.8656539
El mejor Wifi,c0:4a:00:7a:af:0a,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.6704768,49.8819727
Telekom_FON,d4:21:22:9b:f4:6c,[ESS],Sercomm Corporation,8.64695987046015,49.8650805244639
LaFamilia,74:31:70:45:54:c6,"",Arcadyan Technology Corporation,8.6413111,49.8643776
Wegerich@work,00:15:0c:d7:1c:46,"",AVM GmbH,8.6408067,49.8638511
WLAN-583708,d4:21:22:a4:e8:a3,WPA2-PSK-CCMP,Sercomm Corporation,8.659695,49.880531
BirdZz,c4:6e:1f:41:fb:a8,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.67851013086459,49.8615561653234
EasyBox-683612,74:31:70:68:36:26,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-p,Arcadyan Technology Corporation,8.6602675323559,49.8691766171676
TP-LINK_3D0A68,30:b5:c2:3d:0a:68,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.670593,49.884136
Bet3000,00:22:b0:92:5a:ff,"",D-Link Corporation,8.6468699,49.8722363
eduroam,34:62:88:e2:0f:f3,"","Cisco Systems, Inc",8.6594295,49.8755225
Speedlink-313_EXT,6c:b0:ce:ee:85:f6,[WPA2-PSK-CCMP][WPS][ESS],NETGEAR,8.66250589739381,49.8696805297174
WLAN-338969,00:0e:8f:26:ad:b5,[WPA2-PSK-CCMP][WPS][ESS],Sercomm Corp.,8.65635592787774,49.8664985185134
WLAN-C06386,00:12:bf:c0:63:8d,"",Arcadyan Technology Corporation,8.659368,49.875808
o2-WLAN75,1c:c6:3c:81:3d:09,"",Arcadyan Technology Corporation,8.6471356,49.8715368
Belkin.35D1,94:44:52:8b:e5:d1,"",Belkin International Inc.,8.669556,49.8829
Prinzessinenbau,88:03:55:be:f9:0c,"",Arcadyan Technology Corporation,8.6418497,49.8759876
lockerflockig,28:10:7b:60:58:1e,"",D-Link International,8.6425236,49.8704624
Arcor-2C9539,00:1a:2a:2c:95:23,"",Arcadyan Technology Corporation,8.6458939,49.8675102
devolo-f4068d869901,f4:06:8d:86:99:01,"",devolo AG,8.6390924,49.8645757
BozZ-W-lan,08:95:2a:5c:87:e4,"",Technicolor CH USA Inc.,8.6517478,49.8685894
BISHIERHINUNDNICHTWEITER,24:65:11:e0:8e:c4,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],AVM GmbH,8.65565176086672,49.8608803469997
WLAN-0F4077,84:9c:a6:0f:40:7e,WPA2-PSK-CCMP,Arcadyan Technology Corporation,8.663057,49.87976
UPCB84333F,dc:53:7c:ca:8f:da,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],"Compal Broadband Networks, Inc.",8.66127452166482,49.8665954043256
Luftballonspass,c8:0e:14:c2:07:7e,"",AVM Audiovisuelles Marketing und Computersysteme GmbH,8.6414569,49.8673077
FRITZ!Box 7490,c8:0e:14:54:44:91,"",AVM Audiovisuelles Marketing und Computersysteme GmbH,8.659672,49.882025
NETGEAR_8456,00:1b:2f:db:96:be,[WPA2-PSK-CCMP-preauth][ESS],NETGEAR,8.65571048524672,49.864914197789
TEnet-dev,00:0b:86:09:fb:64,[WPA2-PSK-CCMP][ESS],Aruba Networks,8.63065873844168,49.8850949814192
WLAN-3,1c:c6:3c:71:35:b8,[WPA2-PSK-CCMP-preauth][WPS][ESS],Arcadyan Technology Corporation,8.65630931965734,49.8617201339797
Telekom_FON,5c:dc:96:a4:45:24,[ESS],Arcadyan Technology Corporation,8.6499363518803,49.8769957896507
Telekom_FON,d4:21:22:db:3f:cc,"",Sercomm Corporation,8.6336012,49.8699116
HP-Print-20-Officejet Pro X576dw,2c:59:e5:b7:78:20,"",Hewlett Packard,8.6423533,49.8706664
NewPath,08:96:d7:45:b8:f2,"",AVM GmbH,8.66458313417969,49.8638943539062
Mimog_EXT,14:cc:20:36:81:c2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,"TP-LINK TECHNOLOGIES CO.,LTD.",8.6568137999925,49.8617443684737
ozd-gast,6c:9c:ed:b5:94:c0,"","Cisco Systems, Inc",8.6512872,49.8728439
SweetHome,34:31:c4:bc:12:1e,"",AVM GmbH,8.6262155,49.8721015
SSID-PW,c0:25:06:3c:a7:ee,[WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.65434819623816,49.8850276354583
TP-LINK_C6AE0E,30:b5:c2:c6:ae:0e,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.6361031,49.866726
Hobnet,9c:80:df:cd:06:24,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.66129516780716,49.8591271718054
FRITZ!Box 3390,c8:0e:14:78:9d:9d,"",AVM Audiovisuelles Marketing und Computersysteme GmbH,8.6369001,49.8695561
Devolo_oben,bc:f2:af:d6:c9:fa,"",devolo AG,8.681492,49.883606
Bindewald,70:62:b8:2c:60:a6,WPA-PSK-CCMP+TKIP,D-Link International,8.662817,49.882834
ID4,88:03:55:31:0a:f0,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.64989139590993,49.8786766908401
Alma,9c:c7:a6:15:cc:a9,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],AVM GmbH,8.65640768795322,49.8616214379636
Telekom_FON,5c:dc:96:b4:b5:b2,[ESS],Arcadyan Technology Corporation,8.65075568485543,49.8638601631135
WLAN-069646,d4:21:22:80:78:63,[WPA2-PSK-CCMP][WPS][ESS],Sercomm Corporation,8.6504062301611,49.862482931074
Demo,6c:f3:7f:17:6c:51,"",Aruba Networks,8.650755,49.873292
UPC1346832,44:32:c8:a1:ad:64,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Technicolor CH USA Inc.,8.65057841290556,49.8629965530131
HEMS-SchuelerInnen,24:a4:3c:12:87:80,"",Ubiquiti Networks Inc.,8.662047,49.88927
EasyBox-AE8F36,18:83:bf:ae:8f:bc,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-p,Arcadyan Technology Corporation,8.64467992182,49.8633212165834
GPRgHMdbqk,2c:36:f8:60:3c:90,"","Cisco Systems, Inc",8.6327571,49.8717169
FRITZ!Box 7362 SL1,c8:0e:14:51:72:5e,"",AVM Audiovisuelles Marketing und Computersysteme GmbH,8.6624192,49.8693794
wifi,30:b5:c2:81:19:b2,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.6697652,49.8823774
FRITZ!Box Fon WLAN 7360,9c:c7:a6:73:7e:08,[WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.6493448406511,49.8824003272784
Telekom_FON,5c:dc:96:a6:9c:36,"",Arcadyan Technology Corporation,8.6781818,49.8733628
Gottkennen.de,9c:c7:a6:33:0e:33,"",AVM GmbH,8.65892,49.8752403
Dein_Vadder_u._Deine_Mudder,5c:49:79:27:2e:52,[WPA2-PSK-CCMP][ESS],AVM Audiovisuelles Marketing und Computersysteme GmbH,8.65772719463461,49.8575853116188
UPC0911712,8c:04:ff:f5:a6:7e,"",Technicolor CH USA Inc.,8.639757,49.8751847
